Record Date,Security Class Description,Paper Savings Bonds Conversions Count,Paper Savings Bonds Conversions Amount,Transactions Month,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2016-12-31,E,480,461931.00,201612,1,2017,1,2016,4,12,31
2016-12-31,EE,74460,59935572.10,201612,2,2017,1,2016,4,12,31
2016-12-31,I,13361,34733600.31,201612,3,2017,1,2016,4,12,31
2016-11-30,E,399,125489.54,201611,1,2017,1,2016,4,11,30
2016-11-30,EE,74196,60903379.50,201611,2,2017,1,2016,4,11,30
2016-11-30,I,16052,38944393.56,201611,3,2017,1,2016,4,11,30
2016-10-31,E,574,260192.81,201610,1,2017,1,2016,4,10,31
2016-10-31,EE,79898,66541713.19,201610,2,2017,1,2016,4,10,31
2016-10-31,I,14082,39233237.25,201610,3,2017,1,2016,4,10,31
2016-09-30,E,734,462018.69,201609,1,2016,4,2016,3,09,30
2016-09-30,EE,103415,85856090.14,201609,2,2016,4,2016,3,09,30
2016-09-30,I,19770,50968108.34,201609,3,2016,4,2016,3,09,30
2016-08-31,E,1169,453702.48,201608,1,2016,4,2016,3,08,31
2016-08-31,EE,165220,130028455.28,201608,2,2016,4,2016,3,08,31
2016-08-31,I,31866,82337101.37,201608,3,2016,4,2016,3,08,31
2016-07-31,E,809,271086.91,201607,1,2016,4,2016,3,07,31
2016-07-31,EE,94357,66215533.51,201607,2,2016,4,2016,3,07,31
2016-07-31,I,19915,42369797.04,201607,3,2016,4,2016,3,07,31
2016-06-30,E,711,263423.49,201606,1,2016,3,2016,2,06,30
2016-06-30,EE,112509,90605226.68,201606,2,2016,3,2016,2,06,30
2016-06-30,I,23660,56818296.15,201606,3,2016,3,2016,2,06,30
2016-05-31,E,388,93893.34,201605,1,2016,3,2016,2,05,31
2016-05-31,EE,94222,74270933.51,201605,2,2016,3,2016,2,05,31
2016-05-31,I,17643,48934081.98,201605,3,2016,3,2016,2,05,31
2016-04-30,E,306,77075.02,201604,1,2016,3,2016,2,04,30
2016-04-30,EE,48270,46641640.26,201604,2,2016,3,2016,2,04,30
2016-04-30,I,6961,24228002.67,201604,3,2016,3,2016,2,04,30
2016-03-31,E,364,198590.98,201603,1,2016,2,2016,1,03,31
2016-03-31,EE,81302,70071036.21,201603,2,2016,2,2016,1,03,31
2016-03-31,I,15911,43788583.74,201603,3,2016,2,2016,1,03,31
2016-02-29,E,434,111190.37,201602,1,2016,2,2016,1,02,29
2016-02-29,I,8755,23291246.23,201602,3,2016,2,2016,1,02,29
2016-02-29,EE,48656,42736455.47,201602,2,2016,2,2016,1,02,29
2016-01-31,E,342,176394.11,201601,1,2016,2,2016,1,01,31
2016-01-31,EE,46954,42005427.25,201601,2,2016,2,2016,1,01,31
2016-01-31,I,8456,23762125.04,201601,3,2016,2,2016,1,01,31
2015-12-31,E,165,75329.82,201512,1,2016,1,2015,4,12,31
2015-12-31,EE,50637,47113676.68,201512,2,2016,1,2015,4,12,31
2015-12-31,I,8657,24438900.49,201512,3,2016,1,2015,4,12,31
2015-11-30,E,321,198290.03,201511,1,2016,1,2015,4,11,30
2015-11-30,EE,55662,44649544.97,201511,2,2016,1,2015,4,11,30
2015-11-30,I,8614,21322265.03,201511,3,2016,1,2015,4,11,30
2015-10-31,E,104,83367.73,201510,1,2016,1,2015,4,10,31
2015-10-31,EE,52936,48800245.46,201510,2,2016,1,2015,4,10,31
2015-10-31,I,9297,29735034.12,201510,3,2016,1,2015,4,10,31
2015-09-30,E,118,69701.39,201509,1,2015,4,2015,3,09,30
2015-09-30,EE,37963,39492043.64,201509,2,2015,4,2015,3,09,30
2015-09-30,I,6979,23305734.33,201509,3,2015,4,2015,3,09,30
2015-08-31,E,139,44103.53,201508,1,2015,4,2015,3,08,31
2015-08-31,EE,37585,32861267.64,201508,2,2015,4,2015,3,08,31
2015-08-31,I,7592,19970443.49,201508,3,2015,4,2015,3,08,31
2015-07-31,E,62,64330.23,201507,1,2015,4,2015,3,07,31
2015-07-31,EE,44052,36857316.79,201507,2,2015,4,2015,3,07,31
2015-07-31,I,8233,20495970.10,201507,3,2015,4,2015,3,07,31
2015-06-30,E,130,80326.03,201506,1,2015,3,2015,2,06,30
2015-06-30,EE,55627,34887908.21,201506,2,2015,3,2015,2,06,30
2015-06-30,I,9365,18570224.67,201506,3,2015,3,2015,2,06,30
2015-05-31,E,562,219542.68,201505,1,2015,3,2015,2,05,31
2015-05-31,EE,55308,42643001.22,201505,2,2015,3,2015,2,05,31
2015-05-31,I,11284,27043090.58,201505,3,2015,3,2015,2,05,31
2015-04-30,E,597,213518.00,201504,1,2015,3,2015,2,04,30
2015-04-30,EE,79928,57081536.35,201504,2,2015,3,2015,2,04,30
2015-04-30,I,15469,32437868.55,201504,3,2015,3,2015,2,04,30
2015-03-31,E,627,225152.07,201503,1,2015,2,2015,1,03,31
2015-03-31,EE,71047,48165584.66,201503,2,2015,2,2015,1,03,31
2015-03-31,I,13071,35604127.55,201503,3,2015,2,2015,1,03,31
2015-02-28,E,359,196154.86,201502,1,2015,2,2015,1,02,28
2015-02-28,EE,69148,49117439.01,201502,2,2015,2,2015,1,02,28
2015-02-28,I,11097,25657861.13,201502,3,2015,2,2015,1,02,28
2015-01-31,E,447,278971.44,201501,1,2015,2,2015,1,01,31
2015-01-31,EE,70537,49475105.01,201501,2,2015,2,2015,1,01,31
2015-01-31,I,12009,27049828.41,201501,3,2015,2,2015,1,01,31
2014-12-31,E,439,286741.04,201412,1,2015,1,2014,4,12,31
2014-12-31,EE,68427,60462393.93,201412,2,2015,1,2014,4,12,31
2014-12-31,I,14987,39758294.15,201412,3,2015,1,2014,4,12,31
2014-11-30,E,120,48985.38,201411,1,2015,1,2014,4,11,30
2014-11-30,EE,67500,53932726.32,201411,2,2015,1,2014,4,11,30
2014-11-30,I,13786,30112075.82,201411,3,2015,1,2014,4,11,30
2014-10-31,E,653,187735.32,201410,1,2015,1,2014,4,10,31
2014-10-31,EE,73511,53883112.15,201410,2,2015,1,2014,4,10,31
2014-10-31,I,11077,26923623.04,201410,3,2015,1,2014,4,10,31
2014-09-30,E,274,220157.39,201409,1,2014,4,2014,3,09,30
2014-09-30,EE,80573,63612582.42,201409,2,2014,4,2014,3,09,30
2014-09-30,I,14007,32441604.16,201409,3,2014,4,2014,3,09,30
2014-08-31,E,184,41238.67,201408,1,2014,4,2014,3,08,31
2014-08-31,EE,91572,76937311.32,201408,2,2014,4,2014,3,08,31
2014-08-31,I,17420,38843256.71,201408,3,2014,4,2014,3,08,31
2014-07-31,E,672,186307.52,201407,1,2014,4,2014,3,07,31
2014-07-31,EE,88402,63797254.11,201407,2,2014,4,2014,3,07,31
2014-07-31,I,15648,37968279.94,201407,3,2014,4,2014,3,07,31
2014-06-30,E,535,261248.47,201406,1,2014,3,2014,2,06,30
2014-06-30,EE,81886,62950063.70,201406,2,2014,3,2014,2,06,30
2014-06-30,I,14352,30588747.61,201406,3,2014,3,2014,2,06,30
2014-05-31,E,775,336574.62,201405,1,2014,3,2014,2,05,31
2014-05-31,EE,71119,54948065.82,201405,2,2014,3,2014,2,05,31
2014-05-31,I,13412,33230827.14,201405,3,2014,3,2014,2,05,31
2014-04-30,E,453,312663.81,201404,1,2014,3,2014,2,04,30
2014-04-30,EE,81790,58241832.59,201404,2,2014,3,2014,2,04,30
2014-04-30,I,16191,29680376.64,201404,3,2014,3,2014,2,04,30
2014-03-31,E,726,269054.43,201403,1,2014,2,2014,1,03,31
2014-03-31,EE,75519,42092733.17,201403,2,2014,2,2014,1,03,31
2014-03-31,I,14822,27539199.53,201403,3,2014,2,2014,1,03,31
2014-02-28,E,677,221874.88,201402,1,2014,2,2014,1,02,28
2014-02-28,EE,58047,17823794.10,201402,2,2014,2,2014,1,02,28
2014-02-28,I,10457,12337974.28,201402,3,2014,2,2014,1,02,28
2014-01-31,E,566,162460.55,201401,1,2014,2,2014,1,01,31
2014-01-31,EE,53068,15888015.59,201401,2,2014,2,2014,1,01,31
2014-01-31,I,10435,12398937.40,201401,3,2014,2,2014,1,01,31
2013-12-31,E,795,216574.00,201312,1,2014,1,2013,4,12,31
2013-12-31,EE,35621,13444208.12,201312,2,2014,1,2013,4,12,31
2013-12-31,I,7682,8648326.12,201312,3,2014,1,2013,4,12,31
2013-11-30,E,341,125127.21,201311,1,2014,1,2013,4,11,30
2013-11-30,EE,32797,15607548.06,201311,2,2014,1,2013,4,11,30
2013-11-30,I,6821,10107704.76,201311,3,2014,1,2013,4,11,30
2013-10-31,E,272,102099.09,201310,1,2014,1,2013,4,10,31
2013-10-31,EE,35278,14512821.33,201310,2,2014,1,2013,4,10,31
2013-10-31,I,6492,9334275.99,201310,3,2014,1,2013,4,10,31
2013-09-30,E,1080,273532.58,201309,1,2013,4,2013,3,09,30
2013-09-30,EE,36818,13919027.01,201309,2,2013,4,2013,3,09,30
2013-09-30,I,9156,10564017.49,201309,3,2013,4,2013,3,09,30
2013-08-31,E,397,179108.16,201308,1,2013,4,2013,3,08,31
2013-08-31,EE,42004,18194039.54,201308,2,2013,4,2013,3,08,31
2013-08-31,I,10263,10619231.69,201308,3,2013,4,2013,3,08,31
2013-07-31,E,513,109226.70,201307,1,2013,4,2013,3,07,31
2013-07-31,EE,44806,16590771.27,201307,2,2013,4,2013,3,07,31
2013-07-31,I,9698,11425723.20,201307,3,2013,4,2013,3,07,31
2013-06-30,E,604,174499.36,201306,1,2013,3,2013,2,06,30
2013-06-30,EE,38277,14368894.66,201306,2,2013,3,2013,2,06,30
2013-06-30,I,7866,12129174.25,201306,3,2013,3,2013,2,06,30
2013-05-31,E,454,207837.89,201305,1,2013,3,2013,2,05,31
2013-05-31,EE,49236,19295857.38,201305,2,2013,3,2013,2,05,31
2013-05-31,I,10090,11481126.68,201305,3,2013,3,2013,2,05,31
2013-04-30,E,713,408597.40,201304,1,2013,3,2013,2,04,30
2013-04-30,EE,48703,17159066.00,201304,2,2013,3,2013,2,04,30
2013-04-30,I,11375,12937433.63,201304,3,2013,3,2013,2,04,30
2013-03-31,E,511,237326.94,201303,1,2013,2,2013,1,03,31
2013-03-31,EE,58820,22356562.34,201303,2,2013,2,2013,1,03,31
2013-03-31,I,12782,17196193.80,201303,3,2013,2,2013,1,03,31
2013-02-28,E,788,305550.91,201302,1,2013,2,2013,1,02,28
2013-02-28,EE,64444,18561944.85,201302,2,2013,2,2013,1,02,28
2013-02-28,I,14526,16157606.37,201302,3,2013,2,2013,1,02,28
2013-01-31,E,1030,527437.11,201301,1,2013,2,2013,1,01,31
2013-01-31,EE,62699,20498623.75,201301,2,2013,2,2013,1,01,31
2013-01-31,I,13051,16462246.37,201301,3,2013,2,2013,1,01,31
2012-12-31,E,668,232960.19,201212,1,2013,1,2012,4,12,31
2012-12-31,EE,42558,15397350.37,201212,2,2013,1,2012,4,12,31
2012-12-31,I,7849,13046182.71,201212,3,2013,1,2012,4,12,31
2012-11-30,E,750,212452.55,201211,1,2013,1,2012,4,11,30
2012-11-30,EE,41635,17262329.02,201211,2,2013,1,2012,4,11,30
