Record Date,Security Type Description,Security Class Description,Securities Outstanding Amount,Transactions Month,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2020-12-31,Marketable,TIPS,224550600.00,202012,7,2021,1,2020,4,12,31
2020-11-30,Savings Bond,E,482.06,202011,1,2021,1,2020,4,11,30
2020-11-30,Savings Bond,EE,4399833272.02,202011,2,2021,1,2020,4,11,30
2020-11-30,Savings Bond,I,12483162080.11,202011,3,2021,1,2020,4,11,30
2020-11-30,Marketable,Bond,556777300.00,202011,4,2021,1,2020,4,11,30
2020-11-30,Marketable,Bill,16837407600.00,202011,5,2021,1,2020,4,11,30
2020-11-30,Marketable,Note,6729295200.00,202011,6,2021,1,2020,4,11,30
2020-11-30,Marketable,TIPS,224847600.00,202011,7,2021,1,2020,4,11,30
2020-10-31,Savings Bond,EE,4397264689.25,202010,1,2021,1,2020,4,10,31
2020-10-31,Savings Bond,I,12413711255.60,202010,2,2021,1,2020,4,10,31
2020-10-31,Marketable,Bond,554474900.00,202010,3,2021,1,2020,4,10,31
2020-10-31,Marketable,Bill,16922106900.00,202010,4,2021,1,2020,4,10,31
2020-10-31,Marketable,Note,6978733100.00,202010,5,2021,1,2020,4,10,31
2020-10-31,Marketable,TIPS,225726600.00,202010,6,2021,1,2020,4,10,31
2020-09-30,Savings Bond,E,12829.11,202009,1,2020,4,2020,3,09,30
2020-09-30,Savings Bond,EE,4387805299.72,202009,2,2020,4,2020,3,09,30
2020-09-30,Savings Bond,I,12356528443.81,202009,3,2020,4,2020,3,09,30
2020-09-30,Marketable,Bond,556098000.00,202009,4,2020,4,2020,3,09,30
2020-09-30,Marketable,Bill,17229088800.00,202009,5,2020,4,2020,3,09,30
2020-09-30,Marketable,Note,6985331800.00,202009,6,2020,4,2020,3,09,30
2020-09-30,Marketable,TIPS,225856800.00,202009,7,2020,4,2020,3,09,30
2020-08-31,Savings Bond,E,604.40,202008,1,2020,4,2020,3,08,31
2020-08-31,Savings Bond,EE,4369004232.64,202008,2,2020,4,2020,3,08,31
2020-08-31,Savings Bond,I,12298380102.80,202008,3,2020,4,2020,3,08,31
2020-08-31,Marketable,Bond,557220400.00,202008,4,2020,4,2020,3,08,31
2020-08-31,Marketable,Bill,17486728600.00,202008,5,2020,4,2020,3,08,31
2020-08-31,Marketable,Note,7185548300.00,202008,6,2020,4,2020,3,08,31
2020-08-31,Marketable,TIPS,226138200.00,202008,7,2020,4,2020,3,08,31
2020-07-31,Savings Bond,E,513.80,202007,1,2020,4,2020,3,07,31
2020-07-31,Savings Bond,EE,4356782269.12,202007,2,2020,4,2020,3,07,31
2020-07-31,Savings Bond,I,12238961880.84,202007,3,2020,4,2020,3,07,31
2020-07-31,Marketable,Bond,562409800.00,202007,4,2020,4,2020,3,07,31
2020-07-31,Marketable,Bill,17717806300.00,202007,5,2020,4,2020,3,07,31
2020-07-31,Marketable,Note,7352072400.00,202007,6,2020,4,2020,3,07,31
2020-07-31,Marketable,TIPS,224464500.00,202007,7,2020,4,2020,3,07,31
2020-06-30,Savings Bond,E,0.00,202006,1,2020,3,2020,2,06,30
2020-06-30,Savings Bond,EE,4343971414.33,202006,2,2020,3,2020,2,06,30
2020-06-30,Savings Bond,I,12186419239.40,202006,3,2020,3,2020,2,06,30
2020-06-30,Marketable,Bond,565184600.00,202006,4,2020,3,2020,2,06,30
2020-06-30,Marketable,Bill,18258198700.00,202006,5,2020,3,2020,2,06,30
2020-06-30,Marketable,Note,7477643200.00,202006,6,2020,3,2020,2,06,30
2020-06-30,Marketable,TIPS,254052300.00,202006,7,2020,3,2020,2,06,30
2020-05-31,Savings Bond,E,0.00,202005,1,2020,3,2020,2,05,31
2020-05-31,Savings Bond,EE,4337078175.33,202005,2,2020,3,2020,2,05,31
2020-05-31,Savings Bond,I,12129223523.77,202005,3,2020,3,2020,2,05,31
2020-05-31,Marketable,Bond,563995200.00,202005,4,2020,3,2020,2,05,31
2020-05-31,Marketable,Bill,18852041600.00,202005,5,2020,3,2020,2,05,31
2020-05-31,Marketable,Note,7675757300.00,202005,6,2020,3,2020,2,05,31
2020-05-31,Marketable,TIPS,254652300.00,202005,7,2020,3,2020,2,05,31
2020-04-30,Savings Bond,E,562.88,202004,1,2020,3,2020,2,04,30
2020-04-30,Savings Bond,EE,4337255017.71,202004,2,2020,3,2020,2,04,30
2020-04-30,Savings Bond,I,12081558186.04,202004,3,2020,3,2020,2,04,30
2020-04-30,Marketable,Bond,569741600.00,202004,4,2020,3,2020,2,04,30
2020-04-30,Marketable,Bill,19743136400.00,202004,5,2020,3,2020,2,04,30
2020-04-30,Marketable,Note,7744587700.00,202004,6,2020,3,2020,2,04,30
2020-04-30,Marketable,TIPS,254725100.00,202004,7,2020,3,2020,2,04,30
2020-03-31,Savings Bond,EE,4321861192.63,202003,1,2020,2,2020,1,03,31
2020-03-31,Savings Bond,I,11987551006.09,202003,2,2020,2,2020,1,03,31
2020-03-31,Marketable,Bond,577379800.00,202003,3,2020,2,2020,1,03,31
2020-03-31,Marketable,Bill,21864282600.00,202003,4,2020,2,2020,1,03,31
2020-03-31,Marketable,Note,7889029800.00,202003,5,2020,2,2020,1,03,31
2020-03-31,Marketable,TIPS,257162100.00,202003,6,2020,2,2020,1,03,31
2020-02-29,Savings Bond,E,427.88,202002,1,2020,2,2020,1,02,29
2020-02-29,Savings Bond,EE,4306606999.54,202002,2,2020,2,2020,1,02,29
2020-02-29,Savings Bond,I,11922407954.58,202002,3,2020,2,2020,1,02,29
2020-02-29,Marketable,Bond,586048900.00,202002,4,2020,2,2020,1,02,29
2020-02-29,Marketable,Bill,22561568000.00,202002,5,2020,2,2020,1,02,29
2020-02-29,Marketable,Note,8007136100.00,202002,6,2020,2,2020,1,02,29
2020-02-29,Marketable,TIPS,257617600.00,202002,7,2020,2,2020,1,02,29
2020-01-31,Savings Bond,E,19294.04,202001,1,2020,2,2020,1,01,31
2020-01-31,Savings Bond,EE,4294308773.67,202001,2,2020,2,2020,1,01,31
2020-01-31,Savings Bond,I,11854561981.97,202001,3,2020,2,2020,1,01,31
2020-01-31,Marketable,Bond,586070700.00,202001,4,2020,2,2020,1,01,31
2020-01-31,Marketable,Bill,22435113100.00,202001,5,2020,2,2020,1,01,31
2020-01-31,Marketable,Note,8064422600.00,202001,6,2020,2,2020,1,01,31
2020-01-31,Marketable,TIPS,257678100.00,202001,7,2020,2,2020,1,01,31
2019-12-31,Savings Bond,E,0.00,201912,1,2020,1,2019,4,12,31
2019-12-31,Savings Bond,EE,4289638462.84,201912,2,2020,1,2019,4,12,31
2019-12-31,Savings Bond,I,11758663207.55,201912,3,2020,1,2019,4,12,31
2019-12-31,Marketable,Bond,585026600.00,201912,4,2020,1,2019,4,12,31
2019-12-31,Marketable,Bill,22595801900.00,201912,5,2020,1,2019,4,12,31
2019-12-31,Marketable,Note,8064883300.00,201912,6,2020,1,2019,4,12,31
2019-12-31,Marketable,TIPS,310137800.00,201912,7,2020,1,2019,4,12,31
2019-11-30,Savings Bond,E,0.00,201911,1,2020,1,2019,4,11,30
2019-11-30,Savings Bond,EE,4283586105.83,201911,2,2020,1,2019,4,11,30
2019-11-30,Savings Bond,I,11706621977.48,201911,3,2020,1,2019,4,11,30
2019-11-30,Marketable,Bond,582891800.00,201911,4,2020,1,2019,4,11,30
2019-11-30,Marketable,Bill,23099009300.00,201911,5,2020,1,2019,4,11,30
2019-11-30,Marketable,Note,8099613600.00,201911,6,2020,1,2019,4,11,30
2019-11-30,Marketable,TIPS,312134700.00,201911,7,2020,1,2019,4,11,30
2019-10-31,Savings Bond,E,5833.47,201910,1,2020,1,2019,4,10,31
2019-10-31,Savings Bond,EE,4260688076.76,201910,2,2020,1,2019,4,10,31
2019-10-31,Savings Bond,I,11656951424.26,201910,3,2020,1,2019,4,10,31
2019-10-31,Marketable,Bond,584113400.00,201910,4,2020,1,2019,4,10,31
2019-10-31,Marketable,Bill,23327036700.00,201910,5,2020,1,2019,4,10,31
2019-10-31,Marketable,Note,8155533900.00,201910,6,2020,1,2019,4,10,31
2019-10-31,Marketable,TIPS,312770900.00,201910,7,2020,1,2019,4,10,31
2019-09-30,Savings Bond,E,4377.26,201909,1,2019,4,2019,3,09,30
2019-09-30,Savings Bond,EE,4240081025.67,201909,2,2019,4,2019,3,09,30
2019-09-30,Savings Bond,I,11600053161.28,201909,3,2019,4,2019,3,09,30
2019-09-30,Marketable,Bond,584315200.00,201909,4,2019,4,2019,3,09,30
2019-09-30,Marketable,Bill,23708516300.00,201909,5,2019,4,2019,3,09,30
2019-09-30,Marketable,Note,8170810900.00,201909,6,2019,4,2019,3,09,30
2019-09-30,Marketable,TIPS,312947600.00,201909,7,2019,4,2019,3,09,30
2019-08-31,Savings Bond,E,0.00,201908,1,2019,4,2019,3,08,31
2019-08-31,Savings Bond,EE,4204267995.42,201908,2,2019,4,2019,3,08,31
2019-08-31,Savings Bond,I,11538554776.05,201908,3,2019,4,2019,3,08,31
2019-08-31,Marketable,Bond,576663500.00,201908,4,2019,4,2019,3,08,31
2019-08-31,Marketable,Bill,23729720100.00,201908,5,2019,4,2019,3,08,31
2019-08-31,Marketable,Note,8124323000.00,201908,6,2019,4,2019,3,08,31
2019-08-31,Marketable,TIPS,313532600.00,201908,7,2019,4,2019,3,08,31
2019-07-31,Savings Bond,E,9898.70,201907,1,2019,4,2019,3,07,31
2019-07-31,Savings Bond,EE,4175418940.30,201907,2,2019,4,2019,3,07,31
2019-07-31,Savings Bond,I,11484297677.39,201907,3,2019,4,2019,3,07,31
2019-07-31,Marketable,Bond,578282500.00,201907,4,2019,4,2019,3,07,31
2019-07-31,Marketable,Note,8189325300.00,201907,6,2019,4,2019,3,07,31
2019-07-31,Marketable,TIPS,314133600.00,201907,7,2019,4,2019,3,07,31
2019-07-31,Marketable,Bill,24047958400.00,201907,5,2019,4,2019,3,07,31
2019-06-30,Savings Bond,E,5727.59,201906,1,2019,3,2019,2,06,30
2019-06-30,Savings Bond,EE,4143311911.76,201906,2,2019,3,2019,2,06,30
2019-06-30,Savings Bond,I,11423802666.90,201906,3,2019,3,2019,2,06,30
2019-06-30,Marketable,Bond,581020200.00,201906,4,2019,3,2019,2,06,30
2019-06-30,Marketable,Bill,24017791100.00,201906,5,2019,3,2019,2,06,30
2019-06-30,Marketable,Note,8161122400.00,201906,6,2019,3,2019,2,06,30
2019-06-30,Marketable,TIPS,372846700.00,201906,7,2019,3,2019,2,06,30
2019-05-31,Savings Bond,EE,4123312087.43,201905,1,2019,3,2019,2,05,31
2019-05-31,Savings Bond,I,11379414962.49,201905,2,2019,3,2019,2,05,31
2019-05-31,Marketable,Bond,577306500.00,201905,3,2019,3,2019,2,05,31
2019-05-31,Marketable,Bill,24034758800.00,201905,4,2019,3,2019,2,05,31
2019-05-31,Marketable,Note,8161312900.00,201905,5,2019,3,2019,2,05,31
2019-05-31,Marketable,TIPS,372799300.00,201905,6,2019,3,2019,2,05,31
2019-04-30,Savings Bond,E,252.79,201904,1,2019,3,2019,2,04,30
2019-04-30,Savings Bond,EE,4101269787.85,201904,2,2019,3,2019,2,04,30
2019-04-30,Savings Bond,I,11316309564.83,201904,3,2019,3,2019,2,04,30
2019-04-30,Marketable,Bond,576497000.00,201904,4,2019,3,2019,2,04,30
2019-04-30,Marketable,Bill,23718361400.00,201904,5,2019,3,2019,2,04,30
2019-04-30,Marketable,Note,8133205300.00,201904,6,2019,3,2019,2,04,30
2019-04-30,Marketable,TIPS,373180100.00,201904,7,2019,3,2019,2,04,30
2019-03-31,Savings Bond,E,221.24,201903,1,2019,2,2019,1,03,31
2019-03-31,Savings Bond,EE,4079141928.60,201903,2,2019,2,2019,1,03,31
2019-03-31,Savings Bond,I,11226717712.21,201903,3,2019,2,2019,1,03,31
2019-03-31,Marketable,Bond,581132200.00,201903,4,2019,2,2019,1,03,31
